id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
507566,GDAXI,德国DAX,1,17.6247,1.5835,0.4972,0.39,0.0898,0.0011,1777996800000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1778063525270,1778063525270,False,5,05-06,0.61,0.5028,
507549,CSI931142,东证竞争,2,18.4629,3.0926,0.948,0.9212,0.1675,0.0234,1777996800000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523776,1778063523776,False,5,05-06,0.0788,0.052,0.8413
507535,SH000903,中证100,1,18.676,1.8798,0.9996,0.972,0.1007,0.0255,1777996800000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063522372,1778063522372,False,5,05-06,0.028,0.0004,0.9296
507537,CSI930782,500低波,2,21.8683,1.7667,0.6498,0.7451,0.0808,0.0214,1777996800000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778063522572,1778063522572,False,5,05-06,0.2549,0.3502,0.8655
507502,SPHCMSHP,香港中小,1,22.1677,1.4906,0.9908,0.7562,0.0672,0.0227,1777478400000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1777599121403,1777599121403,False,5,04-30,0.2438,0.0092,
507525,SZ399998,中证煤炭,3,22.9659,1.8345,0.8752,0.9888,0.0799,0.0451,1777996800000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1449590400000,1778063521450,1778063521450,True,5,05-06,0.0112,0.1248,0.9508
507539,SZ399317,国证A指,1,23.5776,1.8962,0.9996,0.6724,0.0804,0.017,1777996800000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063522805,1778063522805,False,5,05-06,0.3276,0.0004,0.9947
507506,HKHSSCNE,新经济,2,24.5447,2.8689,0.5307,0.4931,0.1169,0.0112,1777478400000,high,2,,0.05,1542729600000,1777599121946,1777599121946,False,5,04-30,0.5069,0.4693,
507543,SZ399702,基本面120,2,27.3619,2.2394,0.9964,0.596,0.0818,0.0228,1777996800000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523202,1778063523202,False,5,05-06,0.404,0.0036,0.4769
507542,SZ399701,基本面60,2,28.2327,2.1346,0.9984,0.4652,0.0756,0.0255,1777996800000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523098,1778063523098,False,5,05-06,0.5348,0.0016,0.4689
507507,SP500,标普500,1,28.5313,5.5972,0.8236,0.9924,0.1962,0.0104,1777478400000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777685520192,1777685520192,False,5,04-30,0.0076,0.1764,1.8761
507518,SZ399330,深证100,1,31.2247,3.1328,0.962,0.7176,0.1003,0.0179,1777996800000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520767,1778063520767,False,5,05-06,0.2824,0.038,0.5849
507547,SZ399417,新能源车,3,32.9894,4.3147,0.5576,0.7396,0.1308,0.0112,1777996800000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523590,1778063523590,True,5,05-06,0.2604,0.4424,0.6468
507508,NDX,纳指100,1,34.3948,9.9187,0.7,0.9528,0.2884,0.0044,1777478400000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777685520286,1777685520286,False,5,04-30,0.0472,0.3,1.707
507565,935600,MSCI印度,1,34.9874,4.716,0.7768,0.7768,0.1348,0.0098,1777996800000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477411200000,1778063525180,1778063525180,False,5,05-06,0.2232,0.2232,
507545,SZ399001,深证成指,1,36.7263,3.0148,0.9996,0.6656,0.0821,0.0141,1777996800000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063523422,1778063523422,False,5,05-06,0.3344,0.0004,0.5852
507516,SH000905,中证500,1,37.5238,2.5844,0.8676,0.8196,0.0689,0.0126,1777996800000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520594,1778063520594,False,5,05-06,0.1804,0.1324,0.826
507523,SH000827,中证环保,3,38.8354,3.0616,0.908,0.7592,0.0788,0.0142,1777996800000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063521250,1778063521250,False,5,05-06,0.2408,0.092,0.6156
507554,SZ399971,中证传媒,3,43.9187,2.4891,0.7092,0.4056,0.0567,0.0177,1777996800000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063524222,1778063524222,False,5,05-06,0.5944,0.2908,1.0513
507520,SZ399006,创业板,1,45.877,5.9639,0.5744,0.7064,0.13,0.0092,1777996800000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520955,1778063520955,False,5,05-06,0.2936,0.4256,0.7292
507553,SZ399610,TMT50,3,47.5331,6.0815,0.8508,0.98,0.1279,0.0067,1777996800000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1488643200000,1778063524131,1778063524131,False,5,05-06,0.02,0.1492,0.6814
507551,CSI931087,科技龙头,3,52.0677,6.7484,0.8334,0.9005,0.1296,0.005,1777996800000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1778063523942,1778063523942,False,5,05-06,0.0995,0.1666,0.9911
507561,CSI931079,5G通讯,3,52.5689,7.4087,0.9847,0.9953,0.1409,0.0059,1777996800000,high,2,,0.05,1556553600000,1778063524836,1778063524836,False,5,05-06,0.0047,0.0153,0.576
507519,SH000852,中证1000,1,55.6566,2.7774,0.8628,0.712,0.0499,0.0094,1777996800000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063520859,1778063520859,False,5,05-06,0.288,0.1372,0.9102
507559,CSI930652,中证电子,3,62.4722,6.3112,0.9644,0.9996,0.101,0.0058,1777996800000,high,2,,0.05,1452787200000,1778063524665,1778063524665,False,5,05-06,0.0004,0.0356,0.9288
507532,SH000993,全指信息,3,69.026,6.229,0.8384,0.9996,0.0902,0.0055,1777996800000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063522087,1778063522087,False,5,05-06,0.0004,0.1616,0.9654
507526,SZ399967,中证军工,3,81.925,4.0185,0.716,0.8648,0.0491,0.0041,1777996800000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778063521534,1778063521534,True,5,05-06,0.1352,0.284,1.0691
507562,SH000688,科创50,1,158.6019,7.3929,0.9179,0.8938,0.0466,0.0028,1777996800000,high,2,,0.05,1577721600000,1778063524895,1778063524895,False,5,05-06,0.1062,0.0821,0.8119
